Prov/Terr,FSA,Total,Total Income,Income per capita,Net Income,Taxable Income
10,A0A,40180,1670559000,41576.87904,1560593000,1482485000
10,A0B,17860,706289000,39545.85666,662643000,632585000
10,A0C,11130,376387000,33817.34052,356362000,333136000
10,A0E,19710,767887000,38959.25926,720587000,684482000
10,A0G,31220,1069982000,34272.32543,1005619000,944799000
10,A0H,15760,519168000,32942.13198,487009000,458075000
10,A0J,6960,244220000,35089.08046,229317000,215439000
10,A0K,23240,864269000,37188.85542,813169000,762118000
10,A0L,6570,272435000,41466.51446,252322000,243149000
10,A0M,5340,194808000,36480.89888,180748000,172753000
10,A0N,12760,391484000,30680.56426,369642000,339042000
10,A0P,9950,493057000,49553.46734,459783000,418943000
10,A0R,1910,133730000,70015.70681,123291000,112334000
10,A1A,23380,1373682000,58754.57656,1245583000,1222086000
10,A1B,15090,737780000,48891.98144,676027000,655638000
10,A1C,10650,480390000,45107.04225,446152000,419261000
10,A1E,22320,997102000,44673.02867,916761000,881895000
10,A1G,4600,216312000,47024.34783,199651000,193228000
10,A1H,3910,278429000,71209.46292,251851000,249453000
10,A1K,9470,558724000,58999.36642,509152000,501326000
10,A1L,15780,956843000,60636.43853,872128000,856956000
10,A1M,6240,365556000,58582.69231,333032000,327627000
10,A1N,19330,930936000,48160.16555,851222000,831399000
10,A1S,5600,260703000,46554.10714,239254000,232529000
10,A1V,9450,466491000,49364.12698,423665000,413026000
10,A1W,9050,477312000,52741.65746,437233000,428247000
10,A1X,11760,555721000,47255.18707,511695000,498964000
10,A1Y,4730,189846000,40136.57505,177304000,168401000
10,A2A,7790,357999000,45956.22593,328103000,318108000
10,A2B,4060,136099000,33521.92118,127708000,120453000
10,A2H,21610,927469000,42918.50995,857449000,825825000
10,A2N,7440,279621000,37583.46774,257978000,242617000
10,A2V,5590,392980000,70300.53667,366646000,336678000
10,A5A,6890,311612000,45226.70537,287968000,279334000
10,A8A,5800,220043000,37938.44828,205755000,196850000
11,C0A,35990,1420723000,39475.49319,1313509000,1263772000
11,C0B,24090,905083000,37570.90079,842166000,802358000
11,C1A,21030,823455000,39156.20542,762275000,731746000
